[AMTE]
A2DE0,A2DE4,A2DEC,A2DF4,A2E00,Over 4 hours;0-99%
54C074,54C094,54C0B4,54C0D4,54C0F4,Less than 2 hours;16-99%;Normal/Hard mode
54C078,54C098,54C0B8,54C0D8,54C0F8,Over 2 hours;100%;Normal/Hard mode
54C07C,54C09C,54C0BC,54C0DC,54C0FC,Less than 2 hours;100%;Normal mode
54C080,54C0A0,54C0C0,54C0E0,54C100,Less than 2 hours;100%;Hard mode
54C084,54C0A4,54C0C4,54C0E4,54C104,Any time;0-15%;Normal mode
54C088,54C0A8,54C0C8,54C0E8,54C108,Any time;0-15%;Hard mode

[BMXP]
55A34C,55A36C,55A38C,55A3AC,55A3CC,Over 4 hours;16-99%;Normal/Hard mode;or Easy mode
55A350,55A370,55A390,55A3B0,55A3D0,2-4 hours;16-99%;Normal/Hard mode
55A354,55A374,55A394,55A3B4,55A3D4,Less than 2 hours;16-99%;Normal/Hard mode
55A358,55A378,55A398,55A3B8,55A3D8,Over 2 hours;100%;Normal/Hard mode
55A35C,55A37C,55A39C,55A3BC,55A3DC,Less than 2 hours;100%;Normal mode
55A360,55A380,55A3A0,55A3C0,55A3E0,Less than 2 hours;100%;Hard mode
55A364,55A384,55A3A4,55A3C4,55A3E4,Any time;0-15%;Normal mode
55A368,55A388,55A3A8,55A3C8,55A3E8,Any time;0-15%;Hard mode

[BMXJ]
54C0C8,54C0E8,54C108,54C128,54C148,Over 4 hours;16-99%;Normal/Hard mode;or Easy mode
54C0CC,54C0EC,54C10C,54C12C,54C14C,2-4 hours;16-99%;Normal/Hard mode
54C0D0,54C0F0,54C110,54C130,54C150,Less than 2 hours;16-99%;Normal/Hard mode
54C0D4,54C0F4,54C114,54C134,54C154,Over 2 hours;100%;Normal/Hard mode
54C0D8,54C0F8,54C118,54C138,54C158,Less than 2 hours;100%;Normal mode
54C0DC,54C0FC,54C11C,54C13C,54C15C,Less than 2 hours;100%;Hard mode
54C0E0,54C100,54C120,54C140,54C160,Any time;0-15%;Normal mode
54C0E4,54C104,54C124,54C144,54C164,Any time;0-15%;Hard mode

[BMXC]
56EA74,56EA94,56EAB4,56EAD4,56EAF4,Over 4 hours;16-99%;Normal/Hard mode;or Easy mode
56EA78,56EA98,56EAB8,56EAD8,56EAF8,2-4 hours;16-99%;Normal/Hard mode
56EA7C,56EA9C,56EABC,56EADC,56EAFC,Less than 2 hours;16-99%;Normal/Hard mode
56EA80,56EAA0,56EAC0,56EAE0,56EB00,Over 2 hours;100%;Normal/Hard mode
56EA84,56EAA4,56EAC4,56EAE4,56EB04,Less than 2 hours;100%;Normal mode
56EA88,56EAA8,56EAC8,56EAE8,56EB08,Less than 2 hours;100%;Hard mode
56EA8C,56EAAC,56EACC,56EAEC,56EB0C,Any time;0-15%;Normal mode
56EA90,56EAB0,56EAD0,56EAF0,56EB10,Any time;0-15%;Hard mode
